wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4
0.67,1,0.9016393442622952,0.5,0.25,1,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.4,0,0.29508196721311475,0.0,0.5,0,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.92,0,0.13114754098360656,0.5,0.0,1,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
0.95,0,0.21311475409836064,0.0,0.75,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
0.86,1,0.819672131147541,0.0,0.5,1,0,1,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
1.06,1,0.6557377049180327,0.0,0.5,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
0.22,1,0.4918032786885246,0.5,0.75,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.48,1,0.6557377049180327,0.5,0.0,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
0.51,1,0.360655737704918,1.0,0.5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0.39,0,0.24590163934426232,0.5,0.75,1,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
1.23,0,0.16393442622950818,0.0,0.25,1,1,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
0.79,0,0.13114754098360656,0.5,0.0,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.72,0,0.21311475409836064,0.0,0.5,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
0.96,1,0.3770491803278688,0.0,0.25,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
2.29,1,0.4918032786885246,0.0,0.75,0,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
1.32,1,0.6557377049180327,0.0,0.75,0,1,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
0.23,1,0.29508196721311475,0.5,0.0,1,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
2.42,0,0.19672131147540986,0.0,0.25,1,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.54,0,0.24590163934426232,0.5,0.25,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
1.6,1,0.04918032786885243,0.0,0.5,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.73,1,0.2622950819672131,0.0,0.5,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.94,1,0.0819672131147541,0.5,0.75,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
0.76,0,0.34426229508196715,0.0,0.25,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
1.16,1,0.4918032786885246,0.0,0.0,0,0,1,1,1,0,1,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
0.49,0,0.5901639344262295,0.0,0.5,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.38,1,0.0819672131147541,0.5,1.0,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.73,0,0.540983606557377,0.0,0.75,1,1,1,0,1,0,1,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
1.76,0,0.18032786885245902,0.0,0.25,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.63,1,0.6065573770491803,0.0,0.25,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.87,0,0.24590163934426232,0.0,0.25,0,0,1,0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.93,0,0.19672131147540986,0.0,0.0,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.99,0,0.13114754098360656,0.0,0.25,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.86,0,0.4918032786885246,0.0,1.0,0,0,1,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
2.11,0,0.09836065573770489,0.0,0.5,1,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.61,1,0.47540983606557374,0.5,1.0,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.38,1,0.0819672131147541,0.5,0.5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0.36,0,0.2786885245901639,0.5,0.5,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
0.84,0,0.3278688524590164,0.0,0.25,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
1.1,0,0.0819672131147541,0.0,0.0,0,0,1,0,1,1,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
1.08,1,0.3114754098360656,0.0,0.5,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.92,0,0.4098360655737705,0.0,0.75,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0.61,1,0.39344262295081966,0.5,0.75,0,1,1,1,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
