"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10_1a","fin10_1b","fin10_1c","fin10_1d","fin10_1e","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"India","IND",170654715,1.67413138272878,1,23,1,3,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,3,1,2,0,0
"India","IND",188682230,1.79298907410431,1,28,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,2,2,0,0
"India","IND",169096906,0.500118085574247,1,35,1,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,1,2,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,4,1,,0,1,4,4,4,4,4,5,1,2,0,0
"India","IND",178009392,0.960811795380797,2,28,2,5,1,2,1,1,0,2,2,2,,,2,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,1,2,,,,2,1,,2,1,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,5,2,2,1,,1,1,4,4,4,4,2,5,1,1,1,0
"India","IND",145966503,0.255585290334092,2,24,3,5,1,2,1,1,1,1,2,1,1,2,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,2,2,2,1,1,,1,1,1,2,1,,2,1,2,2,2,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,2,,1,0,4,4,4,4,2,5,1,1,1,1
"India","IND",118534515,0.602703221394831,2,30,1,4,2,1,1,1,0,1,1,1,1,2,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,4,3,1,,0,0,4,4,4,4,4,5,1,2,1,0
"India","IND",197270633,0.593007386051279,1,48,1,4,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,1,2,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,4,4,4,4,4,5,2,2,0,0
"India","IND",166965912,0.904054832092247,2,30,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,1,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,4,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"India","IND",190051353,2.41692670492018,1,28,1,1,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,1,2,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,2,2,0,0
"India","IND",112435369,1.74745719464947,2,65,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,2,4,4,4,4,5,1,2,0,0
