wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
0.99,1,23,1,2,2,1,1,0,0,4,4,4,4,4,1,1,1
0.86,1,45,1,5,1,1,1,0,1,1,4,4,4,3,3,1,2
2.11,1,21,1,3,2,2,0,0,0,4,4,4,4,4,5,1,2
0.61,2,44,2,5,1,2,1,1,0,1,4,4,4,4,1,1,1
0.71,2,80,1,2,1,1,1,0,0,4,4,1,4,4,5,2,2
0.38,2,20,2,3,1,1,1,1,1,4,4,4,4,3,4,1,1
0.36,1,32,2,3,1,1,1,1,1,4,4,4,4,4,5,2,2
0.84,1,35,1,2,1,1,0,0,0,4,4,4,4,4,5,1,2
1.3,2,30,1,2,1,1,1,0,1,4,3,4,4,4,6,2,2
1.1,1,20,1,1,1,1,1,0,1,3,4,4,4,4,5,2,2
1.08,2,34,1,3,2,2,1,0,0,4,4,4,4,1,5,1,2
0.92,1,40,1,4,1,1,1,0,1,4,1,4,1,4,5,1,1
0.61,2,39,2,4,1,2,1,1,1,1,4,4,4,4,1,1,1
0.86,1,45,1,1,1,1,1,1,1,4,4,4,3,4,5,1,1
0.8,2,21,3,1,1,1,1,0,0,4,4,4,4,3,4,1,1
0.32,2,56,2,2,2,1,1,0,0,4,4,4,4,2,5,1,2
0.8,1,42,1,2,2,1,1,1,0,4,4,4,4,2,5,2,2
1.33,1,42,1,4,2,2,1,0,0,4,4,4,4,4,5,2,2
0.45,2,45,2,5,1,1,1,1,1,4,3,4,4,2,5,1,2
1.46,2,20,2,3,1,1,1,1,0,4,4,4,4,4,4,1,1
0.22,1,25,3,4,1,1,1,1,0,4,4,4,4,1,1,1,1
0.41,2,21,2,5,1,2,0,0,0,4,4,4,4,4,5,2,2
1.52,2,37,2,5,1,1,1,1,0,4,4,4,4,4,5,1,1
0.45,2,35,2,3,1,1,1,1,1,4,4,4,4,3,3,1,1
1.02,2,29,3,5,1,2,1,1,0,4,4,4,4,4,5,1,1
0.58,2,37,2,3,1,2,0,1,1,2,4,4,4,2,1,1,1
0.66,2,19,2,4,2,2,1,0,0,4,4,4,4,4,5,1,2
1.56,1,26,1,5,1,2,1,1,1,4,4,4,4,4,5,1,2
0.33,2,32,2,3,1,1,1,0,1,2,1,4,4,4,5,1,1
0.61,1,36,3,5,1,2,1,0,0,1,4,4,4,4,1,1,1
0.62,1,45,1,2,1,1,1,0,1,2,4,4,2,4,5,2,2
2.42,1,44,2,5,1,2,0,0,0,4,4,4,4,4,5,2,2
1.43,1,60,1,4,1,1,1,0,1,4,4,4,4,2,5,2,2
0.7,1,25,3,2,1,1,1,0,1,4,1,4,4,1,5,1,1
0.94,2,40,1,4,1,2,0,0,0,4,4,4,4,4,5,1,2
0.48,2,40,2,3,1,2,1,0,0,2,4,4,4,2,5,2,2
0.22,2,22,2,5,1,2,0,1,1,4,4,4,4,3,5,1,1
0.87,2,55,1,1,2,1,1,0,1,4,4,4,4,2,5,1,2
0.22,2,21,2,4,1,1,1,0,1,2,4,4,4,4,5,1,2
0.22,2,38,2,4,1,1,1,0,1,4,4,4,4,4,5,1,1
0.22,2,22,2,4,2,1,1,1,1,4,4,4,4,1,5,1,1
0.96,2,55,2,4,1,2,1,0,0,2,4,4,4,4,5,1,1
1.15,1,15,2,1,2,1,1,0,0,4,3,4,4,4,5,2,2
1.19,2,19,2,5,2,2,1,1,0,4,4,4,4,1,5,1,1
0.95,2,52,2,5,1,2,1,1,0,1,4,4,4,4,5,1,1
1.53,2,21,1,2,1,1,0,0,0,4,4,4,4,4,5,1,2
0.22,2,48,3,5,2,1,0,0,0,4,4,4,4,4,5,1,2
0.53,2,34,2,5,1,1,1,0,0,1,4,4,4,4,1,1,1
0.83,2,25,1,5,1,2,1,0,0,4,4,4,4,4,5,1,1
0.73,2,28,1,3,2,1,1,0,1,4,1,1,4,4,5,1,2
0.94,1,45,1,4,2,1,1,0,0,4,3,4,4,2,5,2,2
0.55,1,51,2,4,2,1,0,0,0,4,4,4,4,4,5,2,2
0.78,2,32,2,3,1,2,1,1,0,4,4,4,4,1,5,1,2
0.22,2,25,2,4,1,1,1,0,1,4,4,4,4,4,5,1,2
0.23,2,29,2,2,2,1,1,0,0,3,4,4,4,4,5,1,2
0.22,2,18,2,4,1,1,0,0,0,4,4,4,4,4,5,2,2
0.63,2,34,2,5,2,1,1,1,1,4,4,4,4,4,4,1,1
1.3,2,61,1,4,2,1,1,0,1,4,4,1,4,2,5,1,2
1.31,1,20,2,5,2,1,1,1,1,4,4,4,4,4,4,2,2
0.93,2,49,1,3,1,1,1,0,1,1,1,4,4,2,5,1,2
0.99,2,29,1,3,1,1,1,0,1,4,4,4,4,3,5,1,1
0.95,1,28,2,4,1,1,1,1,1,4,4,4,4,1,5,1,1
1.15,1,38,1,1,2,2,1,0,0,2,4,4,4,4,5,1,2
1.13,2,17,2,1,2,1,0,0,0,4,4,4,4,4,5,2,2
0.92,1,25,1,5,2,2,1,0,0,4,4,4,4,4,5,1,1
2.13,1,40,1,5,1,1,1,1,1,1,4,1,1,2,3,2,2
0.44,1,24,3,1,1,2,1,0,1,4,4,4,4,2,5,1,2
2.42,2,70,1,2,2,1,1,0,0,4,4,1,4,4,5,2,2
0.96,2,22,2,5,1,2,1,1,0,2,4,4,4,4,3,1,1
0.72,2,30,1,3,2,1,1,0,1,4,4,4,4,2,5,1,1
1.25,2,23,1,3,1,1,0,0,0,4,4,4,4,4,5,1,2
1.69,2,15,1,1,1,1,0,0,0,4,4,4,4,4,3,1,1
1.08,1,38,1,1,1,1,1,0,1,4,1,4,4,4,5,2,2
1.57,2,23,2,4,2,2,1,0,0,4,4,4,4,4,5,1,1
1.27,1,55,1,1,2,2,1,0,1,4,1,4,4,4,3,2,2
0.7,2,62,2,3,1,1,1,1,0,4,2,4,2,3,5,2,2
0.69,1,23,1,3,2,1,1,0,1,4,3,4,4,4,1,1,2
1.52,1,16,2,4,2,2,1,1,0,4,4,4,4,4,5,1,2
1.31,1,80,1,1,2,1,0,0,1,4,4,4,4,4,5,2,2
1.12,2,23,1,3,1,2,0,0,1,4,4,4,4,4,5,2,2
0.22,2,20,2,3,1,1,0,1,0,4,4,4,4,4,5,1,1
1.14,2,40,1,1,1,1,1,0,0,1,4,4,4,4,5,1,2
2.42,1,19,1,1,2,2,1,0,0,4,4,4,4,4,5,2,2
1.72,1,50,1,4,1,1,1,0,1,4,4,4,4,4,1,1,2
0.73,2,30,1,3,1,1,1,0,1,4,4,4,4,4,5,2,2
0.52,2,25,3,5,2,2,1,1,1,4,4,4,4,1,5,1,1
0.5,1,35,1,4,2,1,1,0,0,4,4,4,4,4,5,1,2
1.62,1,30,1,1,1,1,1,0,0,2,4,4,4,4,5,2,2
0.41,2,34,2,4,1,1,1,0,1,2,4,4,4,2,5,1,1
0.51,1,31,2,2,1,1,1,0,1,4,4,4,4,4,3,2,2
2.42,1,35,1,2,1,2,1,0,1,4,4,4,4,4,5,1,2
0.67,1,20,1,1,2,1,1,0,1,2,4,4,2,2,3,2,2
0.3,2,21,2,2,2,1,1,0,1,4,4,4,4,4,5,1,1
1.38,1,23,1,5,2,2,0,0,1,4,4,4,4,4,5,2,2
0.84,2,42,1,3,2,1,1,0,0,4,4,4,4,2,5,1,2
0.73,1,27,1,1,1,2,1,0,0,4,4,4,4,2,5,2,2
0.73,1,54,1,4,1,2,0,0,1,2,4,4,4,4,3,1,2
0.74,1,52,2,5,2,2,0,0,0,4,4,4,4,4,5,2,2
1.3,1,31,1,1,1,1,1,1,0,4,4,4,4,4,5,1,2
