wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
0.81,0,0.0,0.75,1,0,1,1,0,0,0,0,1,0,1,0,1,0.7313417492032841
0.41,1,0.5,0.75,1,0,1,0,0,1,1,1,1,0,1,0,0,0.21177201535847945
0.38,1,1.0,0.75,0,0,1,0,1,0,1,1,1,0,1,0,0,0.25306152733850773
0.78,1,1.0,0.75,1,1,1,1,1,1,1,0,0,1,1,0,0,0.5382574152632154
1.91,0,0.0,1.0,0,1,1,0,1,0,1,1,1,0,0,1,1,0.5382574152632154
0.9,0,0.0,0.25,1,0,0,0,1,1,1,1,1,1,1,0,1,0.33112562210789265
2.01,0,0.0,0.5,1,0,0,0,1,1,1,1,1,1,0,1,1,0.10029601612894867
1.56,1,0.0,0.75,0,1,1,1,1,0,1,1,1,0,1,0,0,0.3121237042552123
0.49,0,0.0,0.5,1,0,1,0,1,1,1,1,1,1,1,1,1,0.5852072483626012
0.65,0,0.0,0.5,0,1,1,0,1,1,1,1,1,0,1,0,1,0.6005073284792961
0.9,1,0.5,0.25,0,0,1,1,0,0,1,1,0,1,1,0,0,0.1687231588989907
0.27,1,0.5,0.5,1,0,1,0,1,1,1,1,1,1,1,1,1,0.6601046208636034
1.19,1,1.0,1.0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.14646429553945794
1.17,0,0.0,1.0,0,0,1,1,1,1,1,1,1,0,1,0,0,0.25306152733850773
1.1,1,0.0,1.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.5382574152632154
0.94,0,0.0,0.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0.8646924184089513
0.89,1,0.0,0.25,0,0,1,0,1,0,1,1,1,1,1,0,1,0.6890086661848598
1.18,1,0.5,1.0,0,0,1,0,0,1,1,1,1,1,1,0,0,0.05162680166599842
0.67,1,0.5,0.25,1,0,1,1,1,1,0,0,0,0,1,0,1,0.9275106159838182
1.4,0,0.0,0.5,0,0,0,0,1,1,1,1,1,1,1,1,1,0.38630566444613734
0.92,0,0.5,0.0,1,0,1,0,0,1,0,1,1,1,1,1,1,0.1904816313028227
0.95,0,0.0,0.75,1,1,0,0,0,1,1,1,1,0,1,1,1,0.29279124390711675
0.86,1,0.0,0.5,1,0,1,0,1,1,0,1,1,1,1,1,1,0.8646924184089513
1.06,1,0.0,0.5,0,1,1,0,1,1,1,1,0,1,1,1,1,0.7313417492032841
0.22,1,0.5,0.75,0,1,1,1,1,1,1,1,1,1,1,0,0,0.5852072483626012
0.48,1,0.5,0.0,0,1,1,0,1,1,1,0,1,1,1,1,1,0.7313417492032841
0.51,1,1.0,0.5,0,1,1,1,0,0,1,1,1,0,0,0,0,0.45611223411086277
0.39,0,0.5,0.75,1,1,1,0,1,1,1,1,1,0,1,0,1,0.33112562210789265
1.23,0,0.0,0.25,1,1,0,0,1,1,1,1,1,0,1,1,1,0.2326232808881239
0.79,0,0.5,0.0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.1904816313028227
0.72,0,0.0,0.5,0,0,1,1,1,1,1,1,1,1,0,0,1,0.29279124390711675
0.96,1,0.0,0.25,0,0,1,0,1,0,1,1,1,0,1,0,1,0.47296560836944224
2.29,1,0.0,0.75,0,1,0,0,0,1,1,1,1,0,1,0,0,0.5852072483626012
